,acc_phone_X,acc_phone_Y,acc_phone_Z,lin_acc_phone_X,lin_acc_phone_Y,lin_acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,location_phone_Latitude,location_phone_Longitude,location_phone_Height,location_phone_Velocity,location_phone_Direction,location_phone_Horizontal Accuracy,location_phone_Vertical Accuracy,mag_phone_X,mag_phone_Y,mag_phone_Z,proximity_phone_Distance,acc_phone_X_outlier,acc_phone_Y_outlier,acc_phone_Z_outlier,lin_acc_phone_X_outlier,lin_acc_phone_Y_outlier,lin_acc_phone_Z_outlier,gyr_phone_X_outlier,gyr_phone_Y_outlier,gyr_phone_Z_outlier,mag_phone_X_outlier,mag_phone_Y_outlier,mag_phone_Z_outlier
2025-06-04 11:54:59.084940032,-6.302401780384614,-1.1028489216153845,-7.500429699230768,-0.0224851267040833,0.0072496459627499,-0.0495824396616666,0.0014891420820833,-0.00387464793545,-0.0027602784102916,,,,,,,,6.867082595833334,-7.0438164075,30.860688526666664,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:59.334940032,-6.312610359333334,-1.1094678496666668,-7.496860198916667,-0.027697990676,0.005863773393243,-0.0438374753184615,0.0007792863941461,-0.0032909883616538,-0.0018751446354384,,,,,,,,6.775559645307691,-6.942079910923076,30.981332925384613,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:59.584940032,-6.310035905153845,-1.1163209063846156,-7.48742980946154,-0.0234936627056923,0.0014152004801653,-0.0419451813961538,0.0010948476779846,-0.0013243787062615,-0.0020038298545307,,,,,,,,6.762119586538461,-7.086177202230767,30.96842428307692,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:59.834940032,-6.308147524307693,-1.118382005,-7.492001072923077,-0.0226557192196666,0.000122005809325,-0.038827266095,-0.002100488059325,0.0035899837191416,0.0019922157371583,52.61918944,4.731826719,0.6812841576,0.0,224.882431,5.398894769,3.0,6.7989559174166665,-7.0935427745,31.00639597416666,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:55:00.084940032,-6.30309265125,-1.1095676420833334,-7.500490150416667,-0.020480547501,4.6125535538461826e-05,-0.0479787882930769,-0.002210195674423,0.0019989694613615,0.0017903657817338,,,,,,,,6.6790618895384615,-7.045192791692307,31.042267432307696,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:55:00.334940032,-6.301618793153845,-1.103436162,-7.501684781538461,-0.0310094413166666,-0.0001963446289166,-0.044157149345,-0.001118717128215,0.0006819115562,0.0005877875422825,,,,,,,,6.701709111666667,-6.9735079605,30.88493410833333,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:55:00.584940032,-6.298726730333333,-1.101259918166667,-7.503845672583335,-0.0237360972622307,0.0028335719499192,-0.0401827856192307,-0.0007773304442923,0.001349277937623,0.0010247490449192,,,,,,,,6.65071282023077,-7.067472788076922,30.855745168461535,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:55:00.834940032,-6.297185704153846,-1.0940748595384615,-7.506382704538462,-0.02448263302525,0.0043126626315833,-0.0475255353749999,-0.0008346876214175,0.0009440698970916,0.0005475388558916,52.61918944,4.731826719,0.6812841576,0.0,224.882431,5.594270813,3.0,6.54581451425,-7.199030637833332,30.79060014166667,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:55:01.084940032,-6.2960697555,-1.0905696486666667,-7.50647769925,-0.0289554119113846,0.0052291031119638,-0.04152926445,-0.0006348162670153,0.0006536613754538,0.0003140976723923,,,,,,,,6.582790668384616,-7.144048360692308,30.833070900769233,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:55:01.334940032,-6.2979456624615375,-1.096216559846154,-7.511610295153845,-0.0311546471707499,-0.0009142426213416,-0.0421938979616666,0.0008070391814391,-0.0012979422657666,-1.274901541683332e-05,,,,,,,,6.649381001750001,-7.176598707916667,30.8082640975,,False,False,False,False,False,False,False,False,False,False,False,False
